  x   y  llave  puerta  bola |       UP     DOWN     LEFT    RIGHT   PICKUP   TOGGLE
------------------------------------------------------------------------------------
  0   0      0       0     0 |   -0.080   -0.018   -0.154   -0.039   -0.284   -0.223
  0   0      0       0     1 |    0.000   -0.022   -0.154   -0.030   -0.154   -0.221
  0   0      1       1     1 |    0.000   -0.015    0.000    0.000   -0.080    0.000
  0   1      0       0     0 |   -0.022   -0.056   -0.446   -0.053   -0.537   -0.642
  0   1      0       0     1 |   -0.028    0.000   -0.284   -0.051   -0.341   -0.341
  0   1      1       0     0 |    0.000    0.000   -0.080   -0.015   -0.080    0.000
  0   1      1       1     1 |   -0.015   -0.008   -0.080    0.000    0.000   -0.080
  0   2      0       0     0 |   -0.055   -0.047   -0.541   -0.077   -0.403   -0.709
  0   2      0       0     1 |   -0.015   -0.016   -0.154   -0.008    0.000   -0.080
  0   2      1       0     0 |    0.000   -0.015   -0.080   -0.008   -0.080    0.000
  0   2      1       0     1 |    0.000   -0.008   -0.080    0.000    0.000    0.000
  0   2      1       1     1 |   -0.008   -0.015   -0.080   -0.814    0.000   -0.080
  0   3      0       0     0 |   -0.019   -0.022   -0.284   -0.028   -0.223   -0.222
  0   3      0       0     1 |   -0.015   -0.023   -0.342   -0.034   -0.444   -0.342
  0   3      1       0     0 |   -0.015    0.000   -0.221    0.000    0.000   -0.394
  0   3      1       0     1 |   -0.008    0.000    0.000   -0.015    0.000   -0.080
  0   3      1       1     1 |   -0.022   -0.031   -0.223   -0.008   -0.285   -0.080
  0   4      0       0     0 |   -0.009    0.000    0.000   -0.022    0.000   -0.154
  0   4      0       0     1 |   -0.029   -0.154   -0.154   -0.008   -0.080   -0.285
  0   4      1       0     1 |   -0.015   -0.080   -0.154   -0.008   -0.080   -0.154
  0   4      1       1     1 |   -0.035   -0.223   -0.345   -0.015   -0.224   -0.286
  1   0      0       0     0 |   -0.284   -0.042   -0.038   -0.017   -0.222   -0.284
  1   0      0       0     1 |   -0.155   -0.034   -0.022   -0.034   -0.224   -0.341
  1   0      1       0     0 |    0.000   -0.008    0.000    0.000    0.000    0.000
  1   0      1       0     1 |   -0.080   -0.008    0.000   -0.015   -0.080    0.000
  1   1      0       0     0 |   -0.040   -0.023   -0.056   -0.028   -0.223   -0.448
  1   1      0       0     1 |   -0.828   -0.023   -0.044   -0.028   -0.285   -0.080
  1   1      1       0     0 |    0.000    0.000   -0.015   -0.008    0.000   -0.080
  1   1      1       0     1 |   -0.008    0.000    0.000    0.000    0.000    0.000
  1   1      1       1     1 |   -0.800   -0.022    0.000    0.000    0.000   -0.080
  1   2      0       0     0 |   -0.037   -0.028   -0.090   -0.000   -0.395   -0.395
  1   2      0       0     1 |   -0.017   -0.008   -0.022   -0.015   -0.221   -0.080
  1   2      1       0     0 |    0.000    0.000   -0.008   -0.017    0.000    0.000
